storm_id,name,iso_time,lat,lon,wind_mph,wind_kt,pressure_mb,status,category
AL122005,Katrina,2005-08-23T18:00:00Z,23.1,-75.1,35,30,1008,TD,0
AL122005,Katrina,2005-08-24T00:00:00Z,23.4,-75.7,35,30,1007,TD,0
AL122005,Katrina,2005-08-24T06:00:00Z,23.8,-76.2,35,30,1007,TD,0
AL122005,Katrina,2005-08-24T12:00:00Z,24.5,-76.5,40,35,1006,TS,0
AL122005,Katrina,2005-08-24T18:00:00Z,25.4,-76.9,46,40,1003,TS,0
AL122005,Katrina,2005-08-25T00:00:00Z,26.0,-77.7,52,45,1000,TS,0
AL122005,Katrina,2005-08-25T06:00:00Z,26.1,-78.4,58,50,997,TS,0
AL122005,Katrina,2005-08-25T12:00:00Z,26.2,-79.0,63,55,994,TS,0
AL122005,Katrina,2005-08-25T18:00:00Z,26.2,-79.6,69,60,988,TS,0
AL122005,Katrina,2005-08-25T22:30:00Z,26.0,-80.1,81,70,984,HU,1
AL122005,Katrina,2005-08-26T00:00:00Z,25.9,-80.3,81,70,983,HU,1
AL122005,Katrina,2005-08-26T06:00:00Z,25.4,-81.3,75,65,987,HU,1
AL122005,Katrina,2005-08-26T12:00:00Z,25.1,-82.0,86,75,979,HU,1
AL122005,Katrina,2005-08-26T18:00:00Z,24.9,-82.6,98,85,968,HU,2
AL122005,Katrina,2005-08-27T00:00:00Z,24.6,-83.3,104,90,959,HU,2
AL122005,Katrina,2005-08-27T06:00:00Z,24.4,-84.0,109,95,950,HU,2
AL122005,Katrina,2005-08-27T12:00:00Z,24.4,-84.7,115,100,942,HU,3
AL122005,Katrina,2005-08-27T18:00:00Z,24.5,-85.3,115,100,948,HU,3
AL122005,Katrina,2005-08-28T00:00:00Z,24.8,-85.9,115,100,941,HU,3
AL122005,Katrina,2005-08-28T06:00:00Z,25.2,-86.7,144,125,930,HU,4
AL122005,Katrina,2005-08-28T12:00:00Z,25.7,-87.7,167,145,909,HU,5
AL122005,Katrina,2005-08-28T18:00:00Z,26.3,-88.6,173,150,902,HU,5
AL122005,Katrina,2005-08-29T00:00:00Z,27.2,-89.2,161,140,905,HU,5
